train_losses_dice,train_losses_dice_hd,valid_losses_dice,valid_losses_dice_hd
0.010328606,0.5895679,0.11084497,0.60337734
0.020692393,0.5890542,0.11256534,0.6028508
0.011909783,0.58863187,0.11733705,0.6023127
0.016734093,0.5880985,0.11159599,0.6017951
0.014150724,0.5876391,0.11356044,0.60125166
0.010888055,0.5870918,0.112178504,0.60069
0.014350623,0.58657444,0.113772094,0.60016036
0.0092238635,0.5860467,0.111923575,0.59965855
0.008857399,0.5855375,0.10999894,0.5991203
0.013219908,0.58499587,0.11311513,0.5985681
0.007508114,0.58448684,0.110770464,0.5979803
0.0068122298,0.58390963,0.1108225,0.59739244
0.00809297,0.58331907,0.11030018,0.5968086
0.0058459193,0.5827581,0.111552715,0.59622544
0.0060922205,0.5822867,0.1109522,0.59576994
0.0075966865,0.58173746,0.112862945,0.5952365
0.0061029643,0.58121085,0.11250818,0.59464467
0.008597165,0.5806362,0.112704396,0.59405583
0.0073999017,0.58008325,0.11382002,0.5936409
0.009244829,0.5795183,0.11475438,0.59304917
0.012225956,0.57894266,0.11480749,0.59246933
0.0072206557,0.57835674,0.115644336,0.59187853
0.015167266,0.5777695,0.11765671,0.59127325
0.0121887475,0.5771811,0.11194301,0.5907081
0.010433078,0.5766081,0.11986613,0.5900975
0.010552898,0.576005,0.113575876,0.5894626
0.015506774,0.57539904,0.113862514,0.5888443
0.014879942,0.57481956,0.12201619,0.5882465
0.01375334,0.57426536,0.10947174,0.5876508
0.014772356,0.5736566,0.12051165,0.5870124
0.008657277,0.573015,0.11076772,0.5863508
0.010224834,0.57247037,0.11246741,0.5857294
0.006700307,0.57182467,0.11307567,0.5850916
0.007079348,0.57119006,0.11103946,0.5844607
0.0070123672,0.5706694,0.112770915,0.58384115
0.0055128187,0.5700677,0.109648705,0.58317995
0.006283894,0.56943357,0.11193347,0.5825565
0.0050070137,0.568797,0.11054027,0.5819257
0.0043655634,0.56814975,0.11138302,0.58127254
0.0069360137,0.5675082,0.112253666,0.58059454
0.0037671775,0.56686926,0.11239314,0.5799365
0.0038712323,0.56621337,0.11223388,0.5792533
0.0066859126,0.5655931,0.11171156,0.57858926
0.003808409,0.5649469,0.11460394,0.57790446
0.0038356334,0.56427896,0.1123721,0.57723325
0.009488806,0.5636005,0.11489236,0.57650334
0.0044886023,0.56306505,0.11649257,0.57604206
0.0035667121,0.5624248,0.11269534,0.57538784
0.012490153,0.5617556,0.11691427,0.5746925
0.0075100064,0.5610825,0.11836094,0.5739984
0.0038406104,0.5603806,0.11329126,0.57329273
0.020580962,0.5597017,0.11978173,0.572599
0.013422504,0.5591095,0.12289196,0.5721438
0.003566727,0.5584269,0.11452615,0.57146686
0.012060508,0.55773556,0.115454435,0.57075953
0.00840418,0.55714786,0.11782205,0.57012737
0.0066600293,0.5564902,0.11662716,0.5694471
0.0047672093,0.555856,0.11306161,0.5687088
0.00743185,0.5551615,0.11852461,0.5681303
0.008614823,0.55447173,0.11549169,0.56742436
0.005467847,0.55377793,0.11623585,0.56667477
0.011750251,0.55307436,0.1226362,0.56595945
0.011558801,0.55242,0.11343545,0.56542385
0.006634876,0.5517107,0.11823487,0.5646581
0.0052698553,0.5509985,0.11419088,0.5639485
0.0070108175,0.55030274,0.11354798,0.56328493
0.003617525,0.54959387,0.11136699,0.5626052
0.005321011,0.54903495,0.11366743,0.5618697
0.002805978,0.54833734,0.11247146,0.56124824
0.002742067,0.5476275,0.11280072,0.56057173
0.0025745332,0.5468666,0.11283535,0.55976695
0.0022794902,0.5461458,0.11337584,0.5590409
0.002455026,0.54538476,0.112143815,0.5582379
0.002036035,0.54465795,0.11383575,0.5574879
0.0019814372,0.54401314,0.112864256,0.5569679
0.0018875152,0.5433912,0.1135025,0.55655056
0.0019250214,0.54264516,0.11358464,0.55584496
0.0018517673,0.541903,0.114057004,0.55506814
0.0018909723,0.54118913,0.11409193,0.5544272
0.0017379522,0.54050165,0.1140635,0.5537527
0.0016734153,0.5397445,0.1144132,0.552978
0.0015771389,0.53898203,0.11456931,0.5522197
0.0016237348,0.5382279,0.11428589,0.5514703
0.0014920682,0.53742826,0.114861965,0.5506511
0.0015489906,0.5366802,0.114543796,0.54982334
0.0014401227,0.53609353,0.114849746,0.5490516
0.0014502108,0.5353284,0.11498737,0.5482499
