step_times_dice,step_times_dice_hd
5.00104e8,8.642605e8
2.328443e8,7.313646e8
4.961042e8,4.710801e8
4.987453e8,8.688429e8
5.0673270000000006e8,8.53127e8
2.289892e8,6.953533e8
5.428802e8,4.487716e8
5.142685e8,7.326499e8
6.331375e8,6.953259e8
2.440307e8,6.003527e8
6.144746e8,4.523976e8
7.629658e8,8.233946e8
4.901471e8,7.09842e8
4.757198e8,6.149506e8
4.762271e8,6.800526e8
6.034169e8,5.504334e8
6.832273e8,7.112303e8
2.425427e8,5.806172e8
5.982716e8,5.967936e8
6.166891e8,6.400735e8
5.897332e8,7.11246e8
2.415007e8,5.024763e8
5.975641e8,5.864645e8
5.971066e8,7.09204e8
6.004334e8,6.855107e8
2.409878e8,4.746387e8
6.687553e8,7.998528e8
6.043108e8,5.72929e8
6.003877e8,9.038502e8
2.436865e8,5.0909819999999994e8
5.965512e8,5.849301e8
5.850946e8,7.046263e8
5.843164e8,7.408563e8
2.43251e8,4.65707e8
8.197726e8,6.381511e8
8.25488e8,1.1984227e9
7.935836e8,4.891917e8
2.286759e8,3.724922e8
7.944562e8,1.1423985e9
8.078198e8,7.648016e8
5.975998e8,7.936699e8
2.289372e8,7.347844e8
5.959889e8,6.576949e8
5.896816e8,7.552895e8
5.96455e8,8.579109e8
2.710925e8,8.0968e8
8.321503e8,9.800919e8
7.914328e8,7.093531e8
7.933951e8,8.641414e8
2.426523e8,7.064687e8
8.317035e8,5.183569e8
7.925404e8,7.199128e8
7.962978e8,5.586475e8
