sizes_2D,maurer_mean_2D,maurer_std_2D,felzenszwalb_mean_2D,felzenszwalb_std_2D,felzenszwalb_inplace_mean_2D,felzenszwalb_inplace_std_2D,felzenszwalb_threaded_mean_2D,felzenszwalb_threaded_std_2D,felzenszwalb_threaded_mean_2D_depth,felzenszwalb_threaded_std_2D_depth,felzenszwalb_threaded_mean_2D_nonthread,felzenszwalb_threaded_std_2D_nonthread,felzenszwalb_threaded_mean_2D_worksteal,felzenszwalb_threaded_std_2D_worksteal,felzenszwalb_gpu_mean_2D,felzenszwalb_gpu_std_2D,wenbo_inplace_mean_2D,wenbo_inplace_std_2D,wenbo_threaded_mean_2D,wenbo_threaded_std_2D,wenbo_threaded_mean_2D_depth,wenbo_threaded_std_2D_depth,wenbo_threaded_mean_2D_nonthread,wenbo_threaded_std_2D_nonthread,wenbo_threaded_mean_2D_worksteal,wenbo_threaded_std_2D_worksteal,wenbo_gpu_mean_2D,wenbo_gpu_std_2D
42025.0,766935.7197844496,5.964923716437241e6,2.2503868741542627e6,2.7132092337596933e6,1.567163076923077e6,753198.8938264473,534686.5697548275,951544.3512947757,531508.7068965518,1.1587159819553366e6,1.2453307711504865e6,287049.0195498715,638433.3290554414,1.190532093431436e6,1.5389397463656047e6,1.704724707354798e6,402783.38,562068.3397858614,260536.99,898533.7362916695,378215.27,1.3954400568978481e6,400756.53,441283.6956758838,689559.4831179659,1.3579052221689587e6,15917.79,211124.09152135608
46225.0,776212.936023776,5.353366377111183e6,2.533545556119858e6,3.042050253533324e6,1.6334729350310154e6,751176.3305753802,608193.2702935037,1.0363875180190447e6,1.030596298606779e6,3.39639341217734e6,1.368525143638851e6,337364.07522133295,667552.4643145704,1.119257778022844e6,1.5446338694710794e6,834228.2706860191,429562.79,508467.51244650496,253233.12,820914.9184375915,329780.0,979385.292602016,454349.51,519885.13540123554,626127.0964427893,1.4797995717272954e6,16068.58,239550.00517487273
50625.0,774851.2989045384,4.315156460909899e6,2.8213239118145844e6,2.9957676504806895e6,1.8425396602658788e6,739621.3564520818,650050.9641873278,1.0662902563888992e6,523704.48473282444,1.0552937016773797e6,1.515035230024213e6,381907.4915683423,671078.3666846944,925951.015391465,1.612796501457726e6,1.0795258446685115e6,471918.96,598213.0737577373,262279.61,807774.4647250456,367905.38,1.2384547128024595e6,501728.09567060246,591505.9652680907,855585.4852611618,1.286388792884271e6,17464.56,298698.3268434096
55225.0,853889.6825396825,4.564388520576709e6,2.9198656524283206e6,2.9283937278222325e6,1.9643918897637795e6,753646.2983587892,706807.3271560941,1.1222028947594417e6,599067.1267707954,1.118093019493621e6,1.6181738002594034e6,335018.01959808124,701004.1931385007,1.1949709489677122e6,1.6760090450571622e6,958112.8647590431,512296.2852438773,570499.0178183273,282781.15,775452.5740386287,403486.79,1.3603265933923975e6,519593.0703402212,785894.047781749,661683.6177019462,1.81519947809495e6,17331.84,258834.83559101133
60025.0,907684.4582269245,4.260314303663304e6,3.191625767263427e6,3.1075306982671614e6,2.16140078023407e6,887645.0191911146,736180.4005934718,1.1692870955098716e6,683711.8951892416,1.2871603479033057e6,1.7798814127720299e6,383850.5756302938,714784.0830449827,988709.7842672573,1.8136150655021835e6,827900.0628091394,579127.9191355873,899478.1913692516,289600.08,829498.4326139287,782439.0209125475,2.4783085772432094e6,814270.6094364352,1.012732715991835e6,1.0526461881503505e6,1.5050485526287083e6,17861.87,222755.07266803845
65536.0,949958.4035222052,4.119724327682636e6,3.294655687830688e6,3.4651480905312593e6,2.5397617811704837e6,1.3902238777823865e6,845167.0069763485,1.4248497630769636e6,4.0952782251437963e6,6.989042476116076e6,2.696387020010817e6,327147.29651841463,1.1186532130777903e6,1.1972593450032033e6,1.9472879189399844e6,1.4122631627276344e6,871047.1113445378,811386.3202390368,395432.9,929877.6329403862,1.3178583421891604e6,3.4167734041977804e6,618922.6410415375,579081.3478230379,549880.7581147177,1.2196327187970716e6,20516.96,368473.1919688031
70756.0,1.2608215845606907e6,5.018962105425134e6,5.170105077720207e6,5.376799891880761e6,2.6237523909616396e6,851593.6748339263,889959.9712798421,1.2616384001649772e6,808979.2167187757,1.4027869278094093e6,2.138414017094017e6,431150.9566620817,757570.4895531493,838293.9409847372,2.0163085149313963e6,1.1738190242295668e6,683732.4687800192,906051.8256449697,308772.93,795826.2139264401,444351.94,1.1338081813276184e6,669283.0845771144,826543.5221213321,683837.2333103922,1.092955673993074e6,19997.43,308189.71534504433
76176.0,1.0387248169073028e6,4.036028604878902e6,3.8605029343629344e6,3.942025984208736e6,2.809510304054054e6,949204.0700343751,936423.1306646526,1.2946408088292377e6,839748.019717831,1.3505020142942362e6,2.281584935897436e6,428590.0589625224,861021.4731369151,989939.6823391293,2.111929618644068e6,1.0058088866290988e6,740579.5444394819,615120.7665736313,326370.61,795244.8794346644,401710.07,970033.8015982849,721352.8542451464,591779.2393847171,653488.1123448727,1.188547593197606e6,19707.17,311770.582934358
81796.0,1.1656292224571295e6,4.315901408976773e6,3.94210905511811e6,3.373553735287849e6,3.004801684717208e6,989598.6712296596,999545.9003215434,1.3678366210908594e6,737385.411378229,1.4504956355797236e6,2.4143564313346227e6,489121.0264168261,890920.5449982072,1.1654098083289796e6,2.2004503536693193e6,843593.7050299587,768621.2703783452,584140.7017029269,346818.2,826819.0768138688,472195.29,1.2864497317587072e6,780121.260583255,522343.4455780217,703246.7876896894,1.3637145033932917e6,21112.2,288722.9749340804
87616.0,1.1673015283329415e6,4.1199503935388695e6,4.272284674657534e6,3.813201777788353e6,3.2335240440699933e6,1.279391020351432e6,1.0745631692573403e6,1.5383319908504784e6,897588.9635142494,1.4588284347723676e6,2.6235202412165706e6,710015.7421804942,975159.6429272121,1.1005781575788555e6,2.355438137996219e6,1.2669481945654503e6,794076.5848996496,643999.1150544015,295940.84,870438.8303975427,434047.65,1.324975961296008e6,804967.0159600193,552291.7986298895,618171.6120184516,1.124372698790882e6,22148.5,357605.2493283407
